date,open,close,volume,turn
20200811,56.78,56.78,1240,703.84
20200812,62.46,62.46,656,409.98
20200813,68.71,68.71,477,327.72
20200814,75.58,75.58,2891,2185.09
20200817,68.02,68.02,24663,16778.39
20200818,61.50,64.51,82681,53557.61
20200819,63.12,60.33,61534,38159.50
20200820,59.30,58.58,34890,20662.31
20200821,58.89,59.33,39337,23230.38
20200824,58.58,56.89,32168,18439.65
20200825,57.31,57.48,25495,14577.63
20200826,57.13,56.79,18939,10790.21
20200827,56.89,55.87,25108,13984.80
20200828,57.00,55.95,21206,12002.71
20200831,55.36,55.70,18020,10069.24
20200901,55.48,55.40,13077,7231.30
20200902,55.40,55.64,14287,7915.97
20200903,55.59,55.95,14801,8262.80
20200904,55.48,56.52,16519,9292.57
20200907,56.38,55.10,16564,9229.32
20200908,55.16,53.85,18491,10001.24
20200909,52.80,50.35,23363,12006.25
20200910,50.80,47.95,17787,8754.64
20200911,47.42,48.64,12766,6132.51
20200914,48.49,48.45,8855,4305.39
20200915,48.32,48.92,11822,5756.50
20200916,48.88,49.43,12224,6007.89
20200917,49.50,50.20,15987,8001.24
20200918,50.03,49.65,11376,5661.38
20200921,49.84,49.05,7134,3505.47
20200922,48.82,48.22,6921,3354.72
20200923,48.33,49.70,12585,6228.29
20200924,49.29,49.58,11448,5666.00
20200925,49.68,49.01,11413,5669.74
20200928,48.93,47.38,8725,4187.52
20200929,47.58,47.56,4553,2169.64
20200930,47.66,47.33,4554,2165.55
20201009,47.97,48.22,8105,3908.20
20201012,48.53,49.41,10327,5067.06
20201013,49.40,50.34,13967,6986.49
20201014,50.00,50.20,10402,5201.75
20201015,50.30,49.39,8678,4332.77
20201016,49.20,49.77,10327,5150.58
20201019,49.99,49.10,6571,3256.39
20201020,48.90,49.41,8418,4100.00
20201021,49.28,48.92,7195,3548.39
20201022,48.98,49.14,7007,3445.28
20201023,49.16,49.93,15719,7850.25
20201026,50.20,50.03,11145,5562.22
20201027,49.50,49.12,9405,4632.38
20201028,49.39,48.68,8711,4235.07
20201029,48.13,49.21,6838,3329.57
20201030,50.08,48.62,12359,6122.15
20201102,48.62,48.85,6963,3380.08
20201103,49.13,50.30,13176,6577.37
20201104,50.58,50.06,11332,5687.72
20201105,50.29,50.61,11564,5820.03
20201106,50.55,52.22,20332,10444.82
20201109,52.80,53.50,24880,13202.63
20201110,53.51,52.85,14590,7742.40
20201111,52.50,51.82,9625,5045.23
20201112,51.76,51.53,6915,3578.56
20201113,51.37,51.98,6479,3351.90
20201116,52.30,52.11,7183,3742.20
20201117,52.30,51.36,8429,4330.45
20201118,51.36,51.51,4967,2553.24
20201119,51.29,52.44,8479,4399.77
20201120,52.30,52.73,9485,4979.30
20201123,52.58,52.55,8901,4696.79
20201124,52.22,51.80,8235,4280.77
20201125,52.11,50.56,8593,4401.15
20201126,50.20,50.02,6805,3403.28
20201127,49.79,49.37,6185,3058.00
20201130,49.25,49.64,4704,2340.51
20201201,49.64,50.15,4519,2264.57
20201202,50.16,50.68,6162,3105.02
20201203,50.57,50.18,4004,2013.72
20201204,50.18,50.15,3547,1784.07
20201207,50.10,49.28,5491,2724.72
20201208,49.20,48.89,5905,2895.56
20201209,48.89,48.00,5230,2528.42
20201210,48.00,48.23,3819,1842.43
20201211,48.26,47.26,5239,2491.69
20201214,47.08,47.60,2377,1128.74
20201215,47.47,48.39,3608,1732.53
20201216,48.32,47.31,3533,1689.52
20201217,47.27,47.96,5051,2393.99
20201218,48.09,48.60,6982,3401.85
20201221,48.50,48.45,5062,2446.15
20201222,48.59,47.20,4943,2368.57
20201223,47.12,47.15,3915,1847.10
20201224,47.10,45.20,7340,3383.82
20201225,45.13,44.72,7065,3141.95
