date,open,close,volume,turn
20200511,7.30,7.22,34520,2506.68
20200512,7.23,7.28,22045,1593.90
20200513,7.25,7.30,21371,1554.31
20200514,7.25,7.19,18635,1343.58
20200515,7.24,7.26,28879,2096.42
20200518,7.33,7.28,21100,1535.13
20200519,7.33,7.29,20468,1489.64
20200520,7.29,7.15,24652,1776.87
20200521,7.16,7.27,39382,2866.15
20200522,7.29,7.11,30122,2162.27
20200525,7.12,7.17,15212,1088.51
20200526,7.17,7.38,33852,2477.47
20200527,7.43,7.59,59763,4537.17
20200528,7.52,7.52,40610,3063.22
20200529,7.57,7.86,61620,4773.82
20200601,7.78,7.89,57335,4495.73
20200602,7.86,7.90,61326,4908.71
20200603,7.96,7.81,40582,3209.93
20200604,7.82,8.08,45608,3600.34
20200605,8.01,7.88,31462,2494.51
20200608,7.87,7.76,20771,1623.49
20200609,7.75,7.74,19708,1526.83
20200610,7.78,7.79,28246,2214.30
20200611,7.71,7.63,25931,1995.60
20200612,7.48,7.69,25882,1978.69
20200615,7.61,7.68,25063,1936.11
20200616,7.69,7.72,20960,1615.62
20200617,7.69,7.93,56584,4468.20
20200618,7.88,7.95,29486,2337.08
20200619,7.98,7.93,23646,1871.60
20200622,7.93,7.92,23534,1869.08
20200623,7.87,7.77,19626,1538.44
20200624,7.80,7.66,21684,1664.69
20200629,7.66,7.57,13073,992.16
20200630,7.58,7.75,15514,1195.33
20200701,7.70,7.73,16737,1294.39
20200702,7.73,7.83,20378,1586.91
20200703,7.84,7.98,30340,2409.56
20200706,8.01,8.18,51161,4150.76
20200707,8.18,8.16,41075,3368.21
20200708,8.17,8.40,49085,4044.11
20200709,8.40,8.53,55140,4686.97
20200710,8.46,8.56,55340,4743.98
20200713,8.57,8.88,56292,4892.53
20200714,8.82,8.55,54100,4671.17
20200715,8.55,8.38,41913,3568.57
20200716,8.38,8.00,35658,2933.69
20200717,8.01,8.13,30192,2455.37
20200720,8.30,8.39,18707,1559.28
20200721,8.45,8.43,17038,1432.00
20200722,8.43,8.35,17522,1472.74
20200723,8.36,8.26,26637,2171.96
20200724,8.27,8.00,34831,2855.51
20200727,8.01,7.94,18136,1435.16
20200728,7.94,8.01,15055,1208.78
20200729,8.01,8.14,16746,1350.55
20200730,8.16,8.16,15762,1285.98
20200731,8.08,8.20,18751,1530.86
20200803,8.20,8.38,21644,1808.76
20200804,8.41,8.77,70616,6107.70
20200805,8.69,9.41,104102,9461.59
20200806,9.30,9.33,177817,16711.94
20200807,9.13,8.68,118393,10233.65
20200810,8.54,8.46,50822,4288.20
20200811,8.44,8.30,42348,3579.14
20200812,8.30,8.36,26449,2170.84
20200813,8.37,8.35,20390,1706.08
20200814,8.39,8.34,18491,1535.42
20200817,8.28,8.44,25323,2126.37
20200818,8.54,8.51,28435,2412.54
20200819,8.50,8.34,22109,1853.79
20200820,8.31,8.20,17598,1454.20
20200821,8.21,8.32,12905,1073.82
20200824,8.32,8.39,17696,1480.40
20200825,8.38,8.25,15391,1278.16
20200826,8.21,8.25,12657,1043.82
20200827,8.25,8.70,59469,5085.70
20200828,8.65,8.51,44674,3819.82
20200831,8.53,8.45,21667,1838.13
20200901,8.52,8.38,15250,1279.05
20200902,8.38,8.46,15188,1280.49
20200903,8.44,8.95,66544,5811.95
20200904,8.78,9.46,116633,10780.71
20200907,9.42,9.62,126596,11493.80
20200908,9.48,8.97,125331,11633.08
20200909,8.88,8.63,48867,4242.50
20200910,8.65,8.13,47905,4013.85
20200911,8.13,8.26,17933,1471.05
20200914,8.23,8.29,14987,1239.13
20200915,8.25,8.19,16337,1342.45
20200916,8.18,8.18,11620,947.08
20200917,8.18,8.16,9129,746.77
20200918,8.16,8.28,13588,1115.88
20200921,8.28,8.19,11323,930.42
20200922,8.15,8.11,10668,871.55
20200923,8.16,8.24,11959,982.21
20200924,8.24,8.10,11479,932.45
20200925,8.08,8.08,8187,661.74
20200928,8.03,7.74,13177,1038.83
20200929,7.74,7.70,9713,754.95
20200930,7.82,7.68,9126,701.24
20201009,7.72,7.94,17385,1374.54
20201012,7.93,8.15,14641,1186.31
20201013,8.15,8.15,12322,1004.83
20201014,8.15,7.99,10377,834.16
20201015,8.00,8.10,13606,1097.16
20201016,8.10,8.17,12052,983.01
20201019,8.25,8.10,12331,1008.94
20201020,8.09,8.19,8841,720.47
20201021,8.20,8.06,11662,938.22
20201022,7.97,7.92,8603,681.84
20201023,7.96,7.89,9983,790.97
20201026,7.90,7.94,7975,625.90
20201027,7.92,7.82,7653,599.36
20201028,7.86,7.79,8079,627.35
20201029,7.72,7.77,7312,568.25
20201030,7.81,7.52,12605,960.75
20201102,7.52,7.39,18947,1407.01
20201103,7.40,7.60,11596,873.84
20201104,7.67,7.50,8953,672.96
20201105,7.59,7.60,13909,1055.40
20201106,7.60,7.54,6305,474.01
20201109,7.53,7.66,11619,891.51
20201110,7.67,7.62,10461,796.85
20201111,7.52,7.55,7859,595.28
20201112,7.55,7.61,8411,636.98
20201113,7.61,7.56,6179,465.06
20201116,7.61,7.71,8618,658.36
20201117,7.69,7.76,8744,674.75
20201118,7.75,7.76,10625,827.48
20201119,7.76,7.83,8855,689.16
20201120,7.81,7.84,5539,434.32
20201123,7.92,7.85,8216,642.48
20201124,7.98,7.79,7625,598.05
20201125,7.80,7.68,6815,528.08
20201126,7.65,7.70,5665,433.71
20201127,7.71,7.75,5945,459.33
20201130,7.77,7.73,7269,564.67
20201201,7.78,7.82,12547,978.95
20201202,7.84,7.82,9943,778.98
20201203,7.78,7.82,8950,700.54
20201204,7.82,7.89,13106,1028.75
20201207,7.92,7.77,9993,779.10
20201208,7.78,7.73,9306,720.83
20201209,7.78,7.62,10191,780.46
20201210,7.62,7.63,7938,604.74
20201211,7.62,7.64,16940,1278.74
20201214,7.65,7.57,12641,954.17
20201215,7.50,7.52,10028,753.53
20201216,7.51,7.48,9993,745.70
20201217,7.44,7.42,10692,791.42
20201218,7.46,7.40,8806,653.09
20201221,7.40,7.43,9408,697.65
20201222,7.36,7.29,8886,652.86
20201223,7.29,7.30,5146,376.01
20201224,7.31,7.13,7905,567.03
20201225,7.13,7.21,5690,408.00
20201228,7.22,7.01,8623,610.15
20201229,7.01,7.03,4160,292.81
20201230,7.03,7.02,6916,485.61
20201231,7.03,7.10,5707,404.39
20210104,7.13,7.16,5376,382.70
20210105,7.18,7.17,8808,630.00
20210106,7.15,7.00,11740,825.15
20210107,6.95,6.70,14082,956.20
20210108,6.71,6.75,8732,585.11
