date,open,close,volume,turn
20200511,5.58,5.61,49122,2755.12
20200512,5.59,5.56,38245,2129.58
20200513,5.54,5.56,34496,1909.64
20200514,5.55,5.52,29388,1626.78
20200515,5.54,5.54,38508,2134.22
20200518,5.52,5.47,55926,3081.25
20200519,5.55,5.62,53209,2970.02
20200520,5.60,5.54,41635,2317.57
20200521,5.51,5.60,87591,4927.17
20200522,5.57,5.42,57739,3176.86
20200525,5.43,5.38,38048,2056.22
20200526,5.43,5.46,28982,1574.08
20200527,5.47,5.57,48480,2679.52
20200528,5.55,5.51,35871,1974.65
20200529,5.50,5.55,28963,1598.67
20200601,5.57,5.71,72721,4114.69
20200602,5.69,5.72,69849,3984.72
20200603,5.76,5.77,68356,3932.55
20200604,5.80,5.71,48508,2771.94
20200605,5.72,5.68,37777,2145.58
20200608,5.71,5.82,93232,5414.98
20200609,5.81,5.83,54518,3171.85
20200610,5.84,6.01,123640,7357.62
20200611,5.98,5.92,95033,5668.26
20200612,5.79,5.92,51074,2992.21
20200615,5.90,5.80,61053,3577.38
20200616,5.84,6.05,115968,6959.74
20200617,6.05,6.08,88456,5352.73
20200618,6.01,5.98,63178,3784.61
20200619,5.97,5.98,34355,2053.12
20200622,5.96,5.98,39488,2360.86
20200623,5.97,5.92,40429,2395.03
20200624,5.96,5.95,42072,2507.00
20200629,5.90,5.88,40212,2368.56
20200630,5.91,5.94,35402,2096.47
20200701,5.94,6.09,89935,5464.88
20200702,6.09,6.11,76855,4677.93
20200703,6.12,6.16,62148,3801.84
20200706,6.17,6.35,117463,7402.55
20200707,6.40,6.34,115427,7381.18
20200708,6.35,6.44,118869,7571.89
20200709,6.43,6.56,107284,6973.90
20200710,6.55,6.39,109994,7099.05
20200713,6.38,6.54,101972,6632.30
20200714,6.54,6.58,94586,6202.19
20200715,6.58,6.73,182163,12343.50
20200716,6.72,6.28,113418,7409.04
20200717,6.27,6.55,108915,7017.98
20200720,6.61,6.72,104416,6961.56
20200721,6.74,6.65,70363,4691.27
20200722,6.62,6.96,172318,11852.25
20200723,6.90,6.96,124142,8560.93
20200724,6.93,6.62,117997,7956.92
20200727,6.63,6.44,80554,5212.98
20200728,6.51,6.59,58484,3841.87
20200729,6.59,6.71,63806,4230.41
20200730,6.75,6.65,57185,3831.53
20200731,6.62,6.73,62853,4196.14
20200803,6.79,6.90,76027,5210.19
20200804,6.87,6.74,71096,4836.96
20200805,6.74,6.90,84261,5714.72
20200806,6.90,6.94,99779,6915.58
20200807,6.88,6.70,88369,5963.02
20200810,6.74,6.77,54860,3721.00
20200811,6.74,6.55,78425,5225.00
20200812,6.58,6.60,71625,4666.00
20200813,6.60,6.74,51708,3468.84
20200814,6.71,6.78,44088,2973.32
20200817,6.78,6.92,96496,6633.61
20200818,6.96,6.93,66002,4564.78
20200819,6.92,6.75,61383,4192.53
20200820,6.79,6.77,55590,3731.92
20200821,6.79,6.68,67649,4570.38
20200824,6.62,6.71,38448,2560.17
20200825,6.73,6.78,64541,4394.57
20200826,6.78,6.67,59107,3958.89
20200827,6.63,6.81,43196,2915.94
20200828,6.78,6.84,43632,2955.96
20200831,6.84,7.16,193595,13785.63
20200901,7.14,7.22,115983,8369.06
20200902,7.18,7.09,95250,6802.81
20200903,7.11,6.99,69466,4861.11
20200904,6.87,7.01,44253,3073.82
20200907,7.02,6.84,62236,4315.48
20200908,6.84,6.92,38216,2622.17
20200909,6.86,6.64,89360,6044.97
20200910,6.67,6.36,84145,5470.35
20200911,6.36,6.43,30524,1945.81
20200914,6.44,6.50,53550,3471.63
20200915,6.48,6.32,71292,4540.21
20200916,6.32,6.25,45324,2834.55
20200917,6.25,6.22,45104,2802.62
20200918,6.21,6.27,49107,3059.74
20200921,6.29,6.30,54409,3409.15
20200922,6.22,6.26,69977,4373.94
20200923,6.34,6.20,87181,5419.59
20200924,6.12,6.00,66427,4002.82
20200925,6.06,5.92,34388,2050.94
20200928,5.62,5.47,127190,6985.34
