date,open,close,volume,turn
20210201,44.95,85.00,157386,100671.24
20210202,77.00,59.05,117380,79971.84
20210203,56.54,59.09,88816,54494.59
20210204,57.00,50.68,80208,44701.52
20210205,51.30,40.40,77040,35312.30
20210208,39.97,35.81,67237,24582.77
20210209,35.80,35.45,45092,16401.87
20210210,36.10,35.30,27533,9873.98
20210218,35.90,36.06,23780,8556.98
20210219,35.97,35.92,28566,9995.11
20210222,36.27,35.85,28040,10133.67
20210223,36.40,42.00,68928,27443.52
20210224,40.88,39.66,38547,15303.77
20210225,39.70,38.11,26817,10279.35
20210226,36.36,36.51,23128,8469.33
20210301,36.43,37.29,12966,4805.24
20210302,37.36,36.21,16143,5882.12
20210303,35.68,36.49,12352,4468.95
20210304,36.27,35.25,12045,4302.32
20210305,35.03,35.90,9758,3476.36
20210308,36.24,36.80,21570,8036.00
20210309,37.01,35.55,14707,5227.36
20210310,35.50,34.70,10025,3499.56
20210311,34.60,34.50,9034,3100.59
20210312,34.50,34.54,6986,2423.64
20210315,34.03,33.53,8450,2870.59
20210316,33.65,32.06,13491,4370.98
20210317,32.41,32.60,7643,2485.61
20210318,32.68,32.30,7650,2480.46
20210319,32.39,32.90,10534,3469.36
20210322,32.86,33.23,6698,2225.12
20210323,33.69,32.88,8000,2636.31
20210324,32.89,32.25,5232,1698.22
20210325,32.30,31.39,8421,2662.67
20210326,31.39,31.68,4790,1517.78
20210329,31.72,31.81,6959,2213.40
20210330,31.96,30.90,9385,2921.97
20210331,30.73,30.97,6378,1957.16
20210401,30.65,31.06,5734,1772.77
20210402,31.27,31.20,10142,3185.06
20210406,31.39,31.22,4824,1505.78
20210407,31.30,31.76,6110,1925.63
20210408,31.52,32.34,14121,4602.76
20210409,32.58,33.06,12992,4265.30
20210412,33.19,32.28,8799,2860.85
20210413,32.41,32.00,5092,1641.80
20210414,32.03,32.25,4514,1453.27
20210415,32.00,32.27,5966,1913.30
20210416,32.10,37.99,52469,19267.38
20210419,37.69,39.89,53896,20763.37
20210420,42.00,38.15,45166,18137.38
20210421,38.35,41.35,45573,18490.38
20210422,41.05,42.46,37833,15678.60
20210423,42.38,41.70,31478,13382.47
20210426,41.08,40.30,33027,13845.40
20210427,40.88,41.76,33114,13599.47
20210428,41.00,41.36,28483,12033.94
20210429,41.14,39.59,26319,10745.98
20210430,39.20,41.97,25782,10596.19
20210506,41.80,40.49,17512,7155.44
20210507,40.60,35.60,28039,10468.56
20210510,35.88,35.91,11360,4128.73
20210511,35.91,35.99,9929,3515.33
