date,open,close,volume,turn
20200511,15.03,14.95,9917,1478.29
20200512,14.98,14.93,9987,1487.10
20200513,14.96,15.25,17196,2594.02
20200514,15.27,15.11,16806,2561.98
20200515,15.11,14.80,20171,3018.10
20200518,14.81,14.76,10084,1490.64
20200519,14.83,14.99,9538,1422.16
20200520,15.08,14.77,8990,1337.14
20200521,14.77,14.70,6222,918.51
20200522,14.60,14.33,9205,1333.15
20200525,14.30,14.33,5265,755.31
20200526,14.49,14.60,6567,953.47
20200527,14.80,14.50,7074,1035.07
20200528,14.50,14.87,16111,2374.10
20200529,14.94,15.08,13698,2052.92
20200601,15.30,15.19,14068,2133.60
20200602,15.20,15.20,15907,2414.74
20200603,15.25,15.15,11577,1758.22
20200604,15.28,15.15,7148,1083.74
20200605,15.20,15.15,6121,924.62
20200608,15.25,15.23,11182,1700.15
20200609,15.23,15.40,15382,2369.72
20200610,15.40,15.60,25895,4019.10
20200611,15.61,15.25,20879,3209.09
20200612,15.03,15.09,14382,2158.97
20200615,15.15,15.24,15614,2374.60
20200616,15.30,15.40,10292,1578.48
20200617,15.39,15.32,12612,1923.27
20200618,15.39,15.26,12930,1966.01
20200619,15.26,15.32,13260,2024.11
20200622,15.40,15.33,12012,1841.89
20200623,15.40,15.69,25012,3893.43
20200624,15.72,15.60,25940,4036.21
20200629,15.59,15.99,32990,5225.02
20200630,15.99,16.02,26902,4282.89
20200701,16.03,16.01,23559,3795.08
20200702,16.10,15.97,24193,3860.92
20200703,16.03,16.27,26262,4219.08
20200706,16.54,16.71,37224,6165.30
20200707,16.70,16.80,34277,5709.55
20200708,16.70,18.48,77196,13734.17
20200709,18.48,18.73,73220,13614.21
20200710,18.74,18.50,62475,11766.99
20200713,19.70,20.35,86026,17354.06
20200714,20.35,20.01,76553,15538.07
20200715,19.89,18.54,58816,11057.69
20200716,18.61,18.42,37073,6895.69
20200717,18.40,18.19,25101,4566.12
20200720,18.56,18.95,26549,4935.74
20200721,19.19,18.85,21924,4118.01
20200722,18.87,18.90,21962,4144.12
20200723,18.72,18.30,26853,4904.92
20200724,18.25,17.33,25492,4531.03
20200727,17.11,17.76,23618,4120.27
20200728,17.26,16.95,15317,2609.79
20200729,16.96,17.17,12303,2089.20
20200730,17.00,17.13,13741,2364.07
20200731,17.13,17.23,12225,2097.96
20200803,17.20,17.60,18435,3217.44
20200804,17.61,17.75,17656,3128.78
20200805,17.75,17.44,20064,3530.78
20200806,17.36,17.30,11349,1963.88
20200807,17.45,16.85,14736,2487.32
20200810,16.79,16.94,9180,1553.54
20200811,16.85,16.55,15270,2546.75
20200812,16.68,16.40,18199,2971.92
20200813,16.49,16.48,11001,1817.11
20200814,16.48,16.77,9983,1656.17
20200817,16.72,17.05,13047,2209.71
20200818,17.01,17.20,15841,2719.36
20200819,17.27,18.21,53986,9804.97
20200820,18.02,17.37,31326,5511.21
20200821,17.45,17.78,32037,5641.05
20200824,18.05,17.50,18788,3285.61
20200825,17.42,17.71,15508,2726.04
20200826,17.71,17.37,10918,1906.87
20200827,17.37,17.51,8767,1536.39
20200828,17.46,17.64,12736,2230.62
20200831,19.10,19.40,38040,7292.08
20200901,20.40,21.34,54832,11435.18
20200902,21.34,22.30,128879,28048.39
20200903,21.90,23.97,102869,24088.56
20200904,22.83,26.37,102285,24863.94
20200907,27.00,28.66,103725,28447.94
20200908,27.58,25.79,76409,20199.19
20200909,24.10,23.21,78577,18828.81
20200910,23.20,24.06,83843,19817.68
20200911,23.51,26.47,83065,20895.35
20200914,27.25,25.90,90261,23764.27
20200915,25.93,25.11,41583,10435.91
20200916,25.78,26.50,48863,12608.21
20200917,26.00,25.11,50940,12614.34
20200918,24.99,26.01,46171,11951.61
20200921,26.19,25.93,32236,8384.23
20200922,26.05,25.93,21248,5488.63
20200923,26.29,26.01,22244,5764.28
20200924,25.59,25.54,16977,4337.44
20200925,25.92,24.92,29091,7427.69
20200928,25.17,24.71,27860,6839.21
20200929,24.98,24.71,25390,6410.93
20200930,24.92,24.86,16424,4068.20
20201009,25.49,24.59,36229,9080.63
20201012,24.58,24.80,30812,7568.17
20201013,24.98,25.40,34555,8636.98
20201014,25.24,24.70,36729,9280.69
20201015,24.60,25.60,51985,13184.25
20201016,25.63,24.83,50269,12310.74
20201019,24.98,24.11,32322,7834.55
20201020,24.35,24.09,18095,4332.15
20201021,23.91,23.25,19309,4552.72
20201022,23.50,23.40,17428,4067.79
20201023,23.29,22.43,20576,4712.30
20201026,22.94,22.53,22360,5068.74
20201027,22.38,22.36,17699,3948.17
20201028,22.26,22.43,18255,4084.75
20201029,22.34,22.06,18435,4082.77
20201030,22.27,21.71,24916,5527.06
20201102,21.84,22.42,33001,7307.09
20201103,22.59,23.03,25223,5753.40
20201104,23.18,23.16,17578,4040.11
20201105,23.16,23.23,15711,3650.49
20201106,23.14,22.68,19080,4356.46
20201109,22.84,23.38,24624,5753.83
20201110,23.50,23.10,15771,3635.63
20201111,23.10,23.08,10425,2398.27
20201112,23.11,22.67,13314,3018.93
20201113,22.69,23.00,20316,4619.35
20201116,23.24,23.70,31037,7400.58
20201117,23.59,23.70,20684,4849.18
20201118,23.69,23.25,16860,3897.64
20201119,23.20,23.21,15839,3659.21
20201120,23.39,23.12,22417,5272.01
20201123,23.30,23.02,14940,3433.83
20201124,23.10,22.91,9418,2161.97
20201125,23.10,22.42,12395,2797.43
20201126,22.21,21.54,19828,4310.78
20201127,21.54,21.37,11132,2376.25
20201130,21.68,20.22,40224,8314.54
20201201,20.13,20.00,56395,11331.57
20201202,19.99,19.51,65515,12829.07
20201203,19.51,19.76,29496,5785.47
20201204,19.75,19.61,20991,4109.92
20201207,19.74,19.78,34848,6924.59
20201208,19.80,19.66,19368,3835.77
20201209,19.74,19.45,13423,2628.70
20201210,19.28,19.32,13189,2558.94
20201211,19.39,19.24,18016,3454.85
20201214,19.15,19.59,11006,2143.04
20201215,19.62,19.60,12599,2467.27
20201216,19.66,19.55,11975,2346.56
20201217,19.68,19.69,12609,2468.44
20201218,19.76,19.65,13561,2656.65
20201221,19.63,19.64,15161,2966.78
20201222,19.47,19.13,15641,3037.17
20201223,19.30,19.22,11116,2130.83
20201224,19.32,18.43,20061,3760.82
20201225,18.40,19.09,13849,2611.50
20201228,19.00,18.83,12518,2370.16
20201229,18.70,18.57,9880,1843.17
20201230,18.43,18.52,9282,1720.38
20201231,18.58,18.60,11710,2171.98
20210104,18.59,18.75,11345,2123.72
20210105,18.75,19.43,18792,3588.54
20210106,19.47,19.29,17046,3300.74
20210107,19.50,18.22,34220,6321.64
20210108,18.30,18.30,21966,3942.57
20210111,18.19,18.16,17832,3215.32
20210112,18.07,18.28,15725,2877.07
20210113,18.47,18.17,16129,2912.34
20210114,18.19,18.50,15815,2917.93
20210115,18.60,18.87,16774,3168.09
