date,open,close,volume,turn
20200511,5.40,5.46,46422,2531.01
20200512,5.46,5.38,58318,3129.55
20200513,5.36,5.33,47748,2534.07
20200514,5.34,5.35,64103,3447.97
20200515,5.34,5.11,172571,8817.12
20200518,5.06,4.91,96307,4791.42
20200519,4.94,5.03,139545,6825.48
20200520,4.94,4.93,68024,3345.25
20200521,4.91,4.81,51817,2516.91
20200522,4.80,4.64,71125,3332.56
20200525,4.64,4.56,75186,3415.03
20200526,4.57,4.65,66894,3091.72
20200527,4.65,4.55,62217,2865.52
20200528,4.50,4.45,81759,3646.88
20200529,4.42,4.47,66090,2969.14
20200602,4.25,4.25,1457,61.92
20200603,4.04,4.04,9194,371.44
20200604,3.84,3.84,35682,1370.19
20200605,3.70,4.03,315927,12017.79
20200608,3.91,3.98,156624,6241.00
20200609,4.01,4.18,41675,1712.44
20200610,4.24,4.39,173688,7569.84
20200611,4.39,4.43,113143,4944.44
20200612,4.36,4.42,47129,2079.16
20200615,4.45,4.37,67626,3037.45
20200616,4.41,4.42,45266,1992.99
20200617,4.42,4.55,62827,2826.00
20200618,4.68,4.78,57997,2743.67
20200619,5.02,5.02,44982,2255.89
20200622,5.27,5.27,9311,490.69
20200623,5.35,5.12,183498,9512.70
20200624,5.08,4.97,82915,4116.44
20200629,4.93,5.11,62495,3210.18
20200630,5.24,5.20,67510,3491.81
20200701,5.20,5.04,56389,2872.55
20200702,5.03,5.09,39780,2026.76
20200703,5.13,5.14,35246,1805.09
20200706,5.17,5.19,70057,3628.34
20200707,5.25,5.22,52681,2753.74
20200708,5.21,5.40,64054,3421.66
20200709,5.40,5.37,86832,4660.26
20200710,5.37,5.38,69996,3764.41
20200713,5.38,5.54,58650,3217.45
20200714,5.53,5.61,60782,3392.57
20200715,5.59,5.69,66475,3784.78
20200716,5.70,5.41,80206,4460.18
20200717,5.33,5.28,56525,3011.97
20200720,5.29,5.42,32662,1743.61
20200721,5.40,5.39,35748,1926.65
20200722,5.38,5.29,57074,3034.77
20200723,5.28,5.20,45106,2346.78
20200724,5.19,5.02,45882,2338.10
20200727,5.01,5.06,33153,1667.37
20200728,5.06,5.23,35549,1828.68
20200729,5.19,5.25,28159,1474.44
20200730,5.25,5.21,21502,1126.50
20200731,5.32,5.38,49965,2688.71
20200803,5.40,5.44,35003,1899.83
20200804,5.45,5.35,38907,2088.94
20200805,5.34,5.35,23523,1252.77
20200806,5.39,5.40,39732,2138.88
20200807,5.41,5.34,30578,1629.43
20200810,5.37,5.39,25017,1340.70
20200811,5.41,5.43,45267,2483.34
20200812,5.42,5.43,27551,1495.47
20200813,5.45,5.36,44839,2414.32
20200814,5.36,5.42,29701,1596.14
20200817,5.52,5.59,51715,2881.10
20200818,5.59,5.66,43339,2442.23
20200819,5.66,5.61,37348,2107.08
20200820,5.60,5.45,73714,4039.54
20200821,5.45,5.50,34700,1889.88
20200824,5.49,5.55,24852,1368.17
20200825,5.55,5.55,18955,1052.19
20200826,5.53,5.43,31965,1744.51
20200827,5.42,5.37,48665,2600.69
20200828,5.35,5.43,21495,1162.08
20200831,5.47,5.43,35310,1932.27
20200901,5.41,5.61,50539,2795.88
20200902,5.61,5.78,88998,5074.64
20200903,5.85,5.80,65464,3818.86
20200904,5.74,5.85,61802,3610.81
20200907,5.81,6.11,84735,5094.68
20200908,6.17,6.42,75245,4706.53
20200909,6.45,6.73,94840,6220.02
20200910,6.80,6.39,124134,8321.73
20200911,6.21,6.10,110979,6849.29
20200914,6.15,6.41,45485,2875.03
20200915,6.53,6.57,89445,5945.66
20200916,6.51,6.46,55903,3667.83
20200917,6.42,6.29,50062,3119.61
20200918,6.50,6.42,33581,2174.19
20200921,6.33,6.31,20900,1331.49
20200922,6.35,6.38,19176,1224.41
20200923,6.41,6.44,33020,2135.16
20200924,6.53,6.45,34266,2212.74
20200925,6.51,6.47,25552,1648.48
20200928,6.54,6.45,63525,4146.54
