date,open,close,volume,turn
20200511,19.98,22.03,558408,119174.34
20200512,22.14,21.36,429367,91515.51
20200513,21.21,21.51,394907,85159.37
20200514,21.21,20.64,330394,69191.00
20200515,20.69,20.68,259371,54201.63
20200518,20.51,20.55,258229,53336.75
20200519,20.62,20.40,289552,58465.37
20200520,20.36,22.13,639401,140117.70
20200521,21.55,20.11,542203,111962.97
20200522,20.09,19.18,249707,48302.70
20200525,18.99,20.04,234448,46412.61
20200526,20.18,22.04,532596,115094.46
20200527,23.04,22.56,565579,129969.97
20200528,22.87,23.60,535740,126212.55
20200529,22.54,24.27,565052,136617.66
20200601,24.79,26.70,535887,137124.88
20200602,27.20,25.00,545213,140951.11
20200603,24.81,26.01,468533,121251.73
20200604,25.40,27.09,494113,132955.64
20200605,26.00,25.85,460435,122529.14
20200608,25.36,24.58,333748,83813.70
20200609,24.51,25.29,270645,67898.60
20200610,24.89,24.78,175199,43410.32
20200611,24.80,24.12,229795,56311.46
20200612,23.30,24.24,168770,40639.08
20200615,24.20,24.41,221042,54436.86
20200616,24.50,24.85,192591,47221.73
20200617,24.87,24.28,278573,67516.18
20200618,24.28,23.29,215566,50550.31
20200619,23.38,23.58,171303,40437.25
20200622,23.75,23.59,160023,38060.77
20200623,23.98,23.52,146539,34810.54
20200624,23.53,23.14,150195,34765.90
20200629,23.10,22.43,149421,33755.03
20200630,22.66,23.10,138766,31709.18
20200701,23.15,23.13,129598,30014.09
20200702,23.09,22.98,125395,28702.39
20200703,22.60,22.67,324343,71916.55
20200706,22.51,23.00,303143,68634.07
20200707,23.01,24.22,538789,127556.55
20200708,23.73,23.54,363096,84845.41
20200709,23.55,24.43,419640,100848.27
20200710,24.33,23.52,284909,68231.81
20200713,23.25,24.20,374714,88515.84
20200714,24.55,26.62,663540,170962.38
20200715,25.50,25.20,608618,156295.27
20200716,24.00,22.68,420341,97275.85
20200717,21.70,22.43,287965,64257.38
20200720,22.45,22.30,179176,39688.74
20200721,22.31,22.17,140797,31148.20
20200722,22.10,21.87,223316,48778.40
20200723,21.57,20.60,292500,60769.66
20200724,20.61,19.62,208017,41671.62
20200727,20.00,20.03,141415,27900.53
20200728,20.05,20.19,108774,21944.15
20200729,20.19,20.73,153548,31580.74
20200730,20.80,20.19,115727,23558.36
20200731,20.16,20.57,155672,31653.72
20200803,20.46,20.74,172453,35606.03
20200804,20.70,20.56,173608,35733.03
20200805,20.33,20.50,103813,21235.22
20200806,20.60,20.13,120645,24372.17
20200807,20.16,19.75,115734,22881.96
20200810,19.73,19.71,100352,19704.21
20200811,19.70,19.27,99149,19408.22
20200812,19.47,18.70,121504,22748.44
20200813,18.89,19.21,104285,19932.97
20200814,19.05,19.06,68045,12959.05
20200817,19.00,19.42,88811,17220.04
20200818,19.40,19.60,93362,18155.73
20200819,19.51,20.15,203919,41135.05
20200820,19.80,19.41,94280,18323.20
20200821,19.45,19.23,62498,12068.96
20200824,19.23,18.99,72609,13821.31
20200825,19.00,18.63,73194,13723.82
20200826,18.63,18.30,76162,14037.66
20200827,18.30,18.00,71552,12896.82
20200828,18.05,18.18,117529,20903.69
20200831,18.19,18.35,94532,17398.39
20200901,18.25,17.61,131734,23326.93
20200902,17.70,17.37,83001,14504.21
20200903,17.35,17.69,142007,24628.72
20200904,17.43,18.19,171726,31284.47
20200907,18.16,18.90,274326,52126.27
20200908,18.82,19.31,187678,35984.98
20200909,19.13,18.65,127484,24072.40
