date,open,close,volume,turn
20200511,3.07,2.95,738832,21931.42
20200512,2.94,2.95,440581,12894.51
20200513,2.96,3.03,497650,14947.79
20200514,3.01,2.93,463443,13781.39
20200515,2.94,2.91,254479,7443.53
20200518,2.91,3.02,548825,16360.44
20200519,3.01,3.08,643708,19670.90
20200520,3.06,3.03,376575,11505.91
20200521,3.05,2.96,374826,11332.51
20200522,2.93,2.90,292252,8548.10
20200525,2.89,3.01,436720,12947.29
20200526,2.99,3.00,353370,10544.37
20200527,3.00,3.13,1130724,35393.67
20200528,3.12,3.05,669058,20501.39
20200529,3.03,3.08,512400,15718.54
20200601,3.09,3.13,553070,17167.68
20200602,3.12,3.08,483369,14963.25
20200603,3.09,3.06,309346,9471.11
20200604,3.06,3.34,1485180,47889.72
20200605,3.28,3.19,862732,27669.35
20200608,3.12,3.11,732962,22784.96
20200609,3.09,3.14,369343,11523.96
20200610,3.12,3.12,259716,8100.40
20200611,3.12,3.06,285410,8812.54
20200612,3.00,3.04,332539,10046.38
20200615,3.03,3.01,295078,8936.79
20200616,3.02,3.06,261422,7941.03
20200617,3.04,3.05,286488,8718.94
20200618,3.03,3.04,275353,8342.27
20200619,3.04,3.04,264464,8040.68
20200622,3.03,3.04,359464,10854.06
20200623,3.03,3.00,192160,5790.57
20200624,3.02,2.95,313378,9273.39
20200629,2.95,2.93,214464,6317.20
20200630,2.93,2.93,233259,6835.34
20200701,2.92,3.00,393054,11736.58
20200702,2.98,3.04,580439,17639.82
20200703,3.05,3.06,435383,13232.92
20200706,3.08,3.19,778109,24521.90
20200707,3.21,3.17,848450,27176.85
20200708,3.16,3.21,567355,18072.87
20200709,3.22,3.29,785976,25680.27
20200710,3.28,3.26,732472,24068.84
20200713,3.25,3.42,785722,26664.48
20200714,3.44,3.42,690726,23534.34
20200715,3.43,3.51,1191204,41579.91
20200716,3.46,3.21,972545,32316.04
20200717,3.20,3.20,463035,14821.04
20200720,3.26,3.50,1091494,37328.39
20200721,3.54,3.46,621572,21916.43
20200722,3.46,3.44,576770,19908.92
20200723,3.42,3.46,596820,20571.32
20200724,3.45,3.29,580982,19493.67
20200727,3.35,3.62,1277017,45631.80
20200728,3.72,3.67,1574570,57444.39
20200729,3.63,3.70,927914,34137.15
20200730,3.70,3.61,698010,25613.09
20200731,3.61,3.57,622595,22177.18
20200803,3.61,3.67,616252,22620.83
20200804,3.66,3.65,669009,24872.34
20200805,3.77,3.90,1160190,45113.76
20200806,3.90,3.90,970656,38473.63
20200807,3.93,3.79,593444,22686.29
20200810,3.79,3.76,413047,15542.59
20200811,3.76,3.66,573376,21215.54
20200812,3.68,3.68,505291,18343.93
20200813,3.67,3.75,593613,22454.55
20200814,3.75,3.73,434103,16071.55
20200817,3.72,3.79,430041,16170.76
20200818,3.80,3.86,647160,25060.67
20200819,3.83,3.93,1046727,41571.98
20200820,3.88,3.83,657569,25204.90
20200821,3.84,4.00,864165,34034.50
20200824,4.00,4.40,1179714,50061.47
20200825,4.60,4.33,1949406,87907.91
20200826,4.34,4.49,1256020,55639.09
20200827,4.44,4.20,1030369,44231.19
20200828,4.18,4.37,729585,31637.52
20200831,4.33,4.81,1006339,46840.82
20200901,4.85,4.73,1258574,59104.91
20200902,4.71,4.67,749148,34899.30
20200903,4.66,4.61,716581,33402.59
20200904,4.48,4.33,883952,38326.84
20200907,4.30,4.13,582364,24633.09
20200908,4.14,4.20,408045,16973.91
20200909,4.15,4.15,489307,20576.93
20200910,4.19,4.15,425968,17765.45
20200911,4.10,4.13,402239,16272.71
20200914,4.13,4.15,286277,11806.65
20200915,4.12,4.17,320693,13248.91
20200916,4.19,4.00,554852,22385.93
20200917,4.01,3.96,416656,16289.08
20200918,3.98,3.96,298609,11765.17
20200921,3.97,3.99,223240,8909.21
20200922,3.93,3.87,216850,8492.78
20200923,3.90,3.91,166507,6470.69
20200924,3.90,3.85,193385,7515.94
20200925,3.87,3.84,229849,8765.93
20200928,3.87,3.76,147387,5599.05
20200929,3.80,3.74,152317,5725.15
20200930,3.75,3.76,141109,5308.45
20201009,3.84,3.83,158982,6092.75
20201012,3.85,3.95,226427,8868.47
20201013,3.93,3.92,148709,5834.16
20201014,3.91,3.83,190680,7330.35
20201015,3.83,3.73,191962,7233.00
20201016,3.75,3.74,142543,5298.48
20201019,3.73,3.70,144783,5416.09
20201020,3.70,3.74,126129,4684.38
20201021,3.74,3.71,93326,3458.40
20201022,3.70,3.69,218698,7976.50
20201023,3.69,3.63,127854,4673.08
20201026,3.62,3.59,126791,4530.44
20201027,3.57,3.62,100747,3633.84
20201028,3.63,3.59,104327,3733.67
20201029,3.56,3.57,110544,3928.71
20201030,3.57,3.48,179785,6281.44
20201102,3.57,3.70,484644,17799.43
20201103,3.70,3.71,284564,10547.15
20201104,3.71,3.66,172600,6353.62
20201105,3.68,3.80,351119,13173.29
20201106,3.78,3.77,233755,8876.96
20201109,3.79,3.82,226888,8648.30
20201110,3.83,3.98,704631,28034.28
20201111,3.94,4.01,575713,23120.95
20201112,3.95,4.22,1078078,44653.74
20201113,4.15,4.01,633490,25706.70
20201116,4.00,4.04,361790,14560.31
20201117,4.03,4.23,957870,40299.22
20201118,4.20,4.19,502623,21050.70
20201119,4.16,4.19,445292,18764.88
20201120,4.18,4.28,634857,27307.14
20201123,4.23,4.26,482969,20512.22
20201124,4.22,4.09,603653,24697.53
20201125,4.10,3.94,517235,20686.07
20201126,3.93,3.87,354699,13790.49
20201127,3.86,3.84,261607,10004.89
20201130,3.83,3.82,210518,8106.20
20201201,3.82,3.91,321373,12475.99
20201202,4.05,3.97,495303,19832.69
20201203,3.93,3.90,380951,14842.40
20201204,3.89,4.04,625822,25119.06
20201207,4.02,4.06,557441,22587.68
20201208,4.07,4.11,633510,25838.04
20201209,4.09,3.98,465939,18730.94
20201210,3.93,4.23,1155992,48586.51
20201211,4.15,4.18,749541,31009.70
20201214,4.15,4.31,916363,38990.49
20201215,4.26,4.23,567110,24044.38
20201216,4.25,4.65,1711516,77262.14
20201217,4.54,4.56,1531050,69113.36
20201218,4.48,4.53,1330048,60804.33
20201221,4.54,4.62,1282383,59368.59
20201222,4.60,5.08,2342203,115530.46
20201223,5.01,5.09,2713701,141237.86
20201224,4.99,4.58,2107948,100275.58
20201225,4.44,4.51,1168519,52461.79
20201228,4.46,4.68,1359348,62730.44
20201229,4.64,4.41,1119181,49913.74
20201230,4.38,4.71,1532936,71340.98
20201231,4.74,4.71,1310500,62879.21
20210104,4.69,4.80,1249902,60057.81
20210105,4.78,5.10,1809018,91845.72
20210106,5.08,5.18,1596205,81888.68
20210107,5.08,4.90,1248244,61130.41
20210108,4.93,4.59,1026959,48258.97
20210111,4.53,4.19,1025576,43875.62
20210112,4.16,4.24,649858,27646.38
20210113,4.21,4.04,882163,35945.00
20210114,3.98,3.93,584438,22860.32
20210115,3.90,3.97,485500,19133.65
20210118,3.94,4.04,438745,17621.37
20210119,4.05,4.06,488001,19826.97
20210120,4.04,4.02,315791,12642.25
20210121,4.00,4.10,552587,22444.02
20210122,4.07,3.98,402427,16128.52
20210125,3.96,3.93,466090,18392.50
20210126,3.88,3.76,509526,19407.56
20210127,3.76,3.79,286373,10868.66
20210128,3.74,3.76,252604,9548.01
20210129,3.79,3.72,306359,11459.61
20210201,3.82,3.91,565104,22085.89
20210202,3.88,3.86,374940,14426.10
20210203,3.87,3.77,313647,11915.17
20210204,3.76,3.78,296121,11136.96
20210205,3.75,3.68,254743,9456.45
20210208,3.65,3.56,266336,9484.90
20210209,3.56,3.63,257694,9262.86
20210210,3.62,3.67,231608,8502.34
20210218,3.71,3.80,336058,12681.26
20210219,3.81,3.99,494465,19299.75
20210222,4.01,3.94,603103,24069.28
20210223,3.94,3.89,396316,15456.69
20210224,3.88,3.84,288119,11094.22
20210225,3.85,3.86,233163,8937.40
20210226,3.82,3.80,193733,7361.60
20210301,3.82,3.89,235531,9081.34
20210302,3.90,3.85,236488,9113.35
20210303,3.82,3.96,402466,15817.81
20210304,3.93,3.90,294718,11483.05
20210305,3.88,3.96,348948,13785.62
20210308,3.98,3.91,264277,10398.75
20210309,3.90,3.76,401884,15146.94
20210310,3.77,3.71,189250,7062.20
20210311,3.69,3.77,163619,6106.62
20210312,3.76,3.76,162237,6066.11
20210315,3.75,3.74,158455,5925.19
20210316,3.75,3.80,200291,7557.63
20210317,3.80,3.78,195059,7405.15
20210318,3.78,3.76,157183,5941.39
20210319,3.73,3.73,177648,6632.51
20210322,3.73,3.78,184310,6913.12
20210323,3.80,3.75,152528,5726.32
20210324,3.73,3.80,310579,11744.82
20210325,3.77,3.72,191571,7166.56
20210326,3.74,3.75,177605,6645.17
20210329,3.75,3.76,183118,6880.57
20210330,3.75,3.72,148544,5541.59
20210331,3.72,3.66,208556,7638.12
20210401,3.66,3.69,129429,4777.37
20210402,3.68,3.69,125360,4615.43
20210406,3.69,3.75,148522,5533.89
20210407,3.74,3.75,135280,5047.38
20210408,3.74,3.76,172374,6462.90
20210409,3.77,3.73,132915,4950.87
20210412,3.72,3.68,134249,4981.35
20210413,3.69,3.69,110575,4083.80
20210414,3.69,3.68,113405,4166.52
20210415,3.71,3.78,501661,19025.75
20210416,3.76,3.90,621074,24104.37
20210419,3.87,3.91,407322,15812.51
20210420,3.90,3.96,608419,24120.77
20210421,3.91,4.01,653141,26187.62
20210422,4.02,3.97,446441,17750.88
20210423,3.96,3.96,393169,15427.38
20210427,3.76,3.76,6315,237.44
20210428,3.57,3.57,7262,259.25
20210429,3.39,3.39,67062,2273.40
20210430,3.22,3.22,1035195,33415.27
20210506,3.26,3.38,625410,20844.85
20210507,3.44,3.30,572113,19312.53
20210510,3.34,3.37,377451,12613.70
20210511,3.37,3.33,297177,9926.02
