date,open,close,volume,turn
20200511,23.51,23.31,93337,21836.35
20200512,23.25,23.04,117619,27144.99
20200513,23.06,22.96,85495,19581.01
20200514,22.89,22.50,101931,23031.74
20200515,22.55,22.93,109117,25008.08
20200518,23.00,22.75,117278,26930.40
20200519,22.99,22.79,103035,23470.18
20200520,22.81,22.38,94249,21192.51
20200521,22.45,22.12,104875,23267.52
20200522,22.15,21.67,93215,20306.00
20200525,21.77,21.85,90584,19745.53
20200526,21.93,22.01,91820,20067.38
20200527,21.96,21.93,71575,15716.81
20200528,22.01,21.98,160998,35719.47
20200529,22.00,21.66,118049,25684.25
20200601,21.73,22.26,139048,30714.96
20200602,22.28,22.76,164870,37239.76
20200603,22.79,22.50,145155,33027.59
20200604,22.54,22.62,103481,23284.46
20200605,22.58,22.36,89743,20064.90
20200608,22.44,22.73,126200,28587.18
20200609,22.84,22.55,98288,22218.28
20200610,22.56,22.22,123850,27559.15
20200611,22.22,21.94,157776,34788.36
20200612,21.55,22.03,174854,38025.56
20200615,21.81,21.63,135184,29390.89
20200616,21.78,22.02,119332,26070.84
20200617,22.10,21.84,87670,19171.05
20200618,21.86,22.27,150368,33494.75
20200619,22.35,22.83,245374,55526.75
20200622,22.80,22.90,159113,36406.55
20200623,22.87,22.61,121146,27403.10
20200624,22.80,22.95,184964,42548.57
20200629,22.90,22.35,151575,33948.62
20200630,22.39,22.86,131507,29840.64
20200701,22.90,23.78,304495,71705.31
20200702,23.88,24.75,418105,101956.20
20200703,24.89,24.77,296974,73443.12
20200706,25.87,27.24,491059,130083.19
20200707,27.66,27.29,395098,109097.80
20200708,27.50,27.46,315229,85898.23
20200709,27.46,28.05,412653,113858.07
20200710,20.50,20.24,328857,67135.22
20200713,19.98,19.82,532970,104359.05
20200714,19.60,19.18,440393,85167.46
20200715,19.18,18.85,316255,60312.37
20200716,18.99,17.90,395594,73140.23
20200717,18.00,18.11,247703,44674.34
20200720,18.34,18.89,260158,48622.66
20200721,18.89,18.74,176821,33140.48
20200722,18.69,18.65,168788,31583.47
20200723,18.56,18.27,247979,45129.01
20200724,18.20,17.84,231533,41799.34
20200727,17.83,17.44,165310,28962.88
20200728,17.61,17.34,206090,35761.87
20200729,17.32,17.54,201966,35124.67
20200730,17.55,17.33,157640,27479.97
20200731,17.35,17.35,164400,28542.54
20200803,17.40,17.80,259772,45625.62
20200804,17.85,17.96,267692,47657.29
20200805,17.90,17.67,172624,30426.00
20200806,17.61,17.58,133236,23379.54
20200807,17.56,17.33,130084,22564.81
20200810,17.32,17.65,203707,35839.57
20200811,17.64,17.50,174319,30853.05
20200812,17.55,17.44,153368,26688.47
20200813,17.48,17.32,153525,26688.67
20200814,17.31,17.60,157839,27560.72
20200817,17.70,18.05,281763,50634.76
20200818,18.11,17.95,179944,32271.89
20200819,17.93,18.01,189688,34226.30
20200820,17.98,17.76,118375,21079.31
20200821,17.82,17.82,105899,18789.64
20200824,17.82,17.62,153483,27233.51
20200825,17.66,17.42,153311,26834.96
20200826,17.44,17.16,165916,28603.96
20200827,17.17,16.67,260119,43620.51
20200828,16.67,17.08,177334,29940.66
20200831,16.88,16.80,241849,40988.17
20200901,16.76,16.74,165162,27545.99
20200902,16.80,16.66,158906,26471.62
20200903,16.70,16.60,124004,20654.26
20200904,16.50,16.40,141865,23232.07
20200907,16.35,16.27,191497,31376.09
20200908,16.26,16.31,142775,23225.85
20200909,16.16,16.08,136239,21961.24
20200910,16.18,16.01,173354,28042.06
20200911,15.99,15.90,112679,17873.72
20200914,15.91,15.84,93631,14846.07
20200915,15.89,16.16,148969,23999.72
20200916,16.16,16.24,135292,21927.75
20200917,16.25,16.05,107137,17228.35
20200918,16.11,16.42,182073,29717.96
20200921,16.42,16.27,110696,18046.06
20200922,16.15,15.96,142046,22878.50
20200923,16.02,16.00,80555,12898.92
20200924,15.95,15.80,99179,15712.19
20200925,15.79,15.53,134967,21039.64
20200928,15.53,15.41,91973,14239.34
20200929,15.44,15.31,100909,15529.02
20200930,15.32,15.17,143403,21694.04
20201009,15.30,15.32,144328,22048.91
20201012,15.37,15.57,175454,27200.15
20201013,15.56,15.44,113569,17502.84
20201014,15.43,15.11,160052,24285.20
20201015,15.11,15.04,112704,16985.07
20201016,15.01,15.01,144332,21667.00
20201019,15.03,15.02,182993,27673.37
20201020,14.98,14.89,145656,21643.68
20201021,14.90,14.82,121283,17923.16
20201022,14.80,14.82,94373,13951.17
20201023,14.85,14.98,160214,24052.41
20201026,14.96,14.74,118646,17541.34
20201027,14.67,14.39,161121,23291.47
20201028,14.39,14.50,86652,12510.90
20201029,14.37,14.47,85398,12324.74
20201030,14.36,14.07,161730,23157.84
20201102,14.00,13.43,272881,37045.23
20201103,13.45,13.72,173397,23498.08
20201104,13.76,13.91,161890,22416.77
20201105,14.00,14.04,128031,17928.86
20201106,14.05,14.08,119550,16851.73
20201109,14.12,14.21,129735,18439.03
20201110,14.22,14.08,124302,17650.51
20201111,14.03,14.06,127911,17996.33
20201112,14.06,13.97,95107,13265.47
20201113,13.85,13.77,91712,12632.38
20201116,13.85,14.01,83647,11663.69
20201117,14.01,14.59,318446,45971.77
