date,open,close,volume,turn
20200511,38.68,39.11,9719,3803.26
20200512,38.80,38.83,9212,3519.51
20200513,38.83,39.31,9007,3506.87
20200514,39.20,39.89,12656,4991.41
20200515,39.68,40.28,14315,5753.39
20200518,40.38,38.90,9878,3888.19
20200519,39.47,39.89,9667,3821.59
20200520,39.93,39.81,14497,5851.87
20200521,39.80,37.90,13228,5124.59
20200522,37.70,36.62,9054,3346.81
20200525,36.23,35.84,4789,1728.61
20200526,35.61,37.51,7133,2646.01
20200527,37.39,37.33,6087,2279.20
20200528,37.22,37.30,5419,1998.02
20200529,37.00,38.08,9077,3441.22
20200601,38.48,39.65,15013,5926.25
20200602,39.75,39.90,12027,4793.45
20200603,39.90,40.00,12418,5003.83
20200604,40.00,42.77,28831,12090.68
20200605,42.51,43.27,22511,9662.56
20200608,43.22,41.73,15547,6623.15
20200609,41.69,41.05,9373,3860.72
20200610,41.00,40.89,6808,2776.59
20200611,40.94,40.70,10666,4391.13
20200612,39.89,40.02,7361,2953.39
20200615,39.55,39.95,6765,2720.52
20200616,40.31,41.75,11314,4652.00
20200617,43.50,42.65,27390,12079.95
20200618,41.50,41.70,15691,6531.37
20200619,41.44,41.09,10715,4388.88
20200622,40.75,41.96,11617,4847.50
20200623,41.75,40.92,7928,3246.16
20200624,40.92,40.54,9286,3746.39
20200629,40.53,40.79,8287,3382.18
20200630,40.79,41.20,12358,5034.65
20200701,41.00,40.77,9447,3866.92
20200702,40.90,41.15,8091,3311.46
20200703,41.18,41.68,12062,4983.20
20200706,41.71,43.80,20953,9031.09
20200707,44.46,44.63,23683,10598.33
20200708,44.80,44.99,15375,6885.30
20200709,45.14,47.60,27525,12900.97
20200710,47.15,45.87,19653,9206.38
20200713,46.49,47.80,18063,8420.69
20200714,47.80,48.61,26819,12967.69
20200715,48.60,44.75,20145,9377.55
20200716,44.84,42.13,14841,6487.20
20200717,43.39,41.81,8651,3634.46
20200720,42.32,42.71,7664,3228.28
20200721,42.90,42.73,8542,3674.81
20200722,42.37,42.44,7429,3168.87
20200723,42.44,41.21,10622,4361.77
20200724,40.90,38.19,11585,4588.26
20200727,38.30,38.37,6421,2445.55
20200728,38.37,38.50,4234,1637.62
20200729,38.86,40.17,7033,2778.40
20200730,40.17,40.37,5327,2148.60
20200731,40.30,40.70,5986,2421.73
20200803,40.80,41.94,8748,3639.66
20200804,42.35,40.93,6908,2857.79
20200805,41.60,41.53,5468,2268.28
20200806,41.50,42.43,9514,3971.77
20200807,42.10,40.47,7723,3152.07
20200810,40.45,40.80,4111,1672.89
20200811,40.78,39.40,4571,1834.06
20200812,39.52,39.01,4857,1878.88
20200813,39.19,39.84,4563,1808.59
20200814,39.85,41.23,6928,2809.00
20200817,41.02,42.20,7664,3201.36
20200818,42.70,42.60,9527,4034.62
20200819,42.97,41.02,7180,2997.98
20200820,41.20,41.08,5742,2330.42
20200821,41.50,41.28,5600,2306.74
20200824,41.30,41.84,6237,2578.99
20200825,41.95,41.14,7105,2949.42
20200826,41.14,39.89,6013,2444.93
20200827,39.80,40.51,3466,1391.40
20200828,40.11,40.58,3725,1506.58
20200831,40.58,41.15,4255,1753.93
20200901,41.15,42.08,7012,2921.60
20200902,41.85,41.60,5036,2092.10
20200903,41.60,40.85,4061,1681.85
20200904,40.80,41.37,4400,1783.18
20200907,40.91,40.00,5918,2410.10
20200908,40.46,39.70,4151,1649.78
20200909,39.42,38.48,6388,2475.78
20200910,38.49,36.91,4425,1662.87
20200911,36.83,37.72,3156,1178.60
20200914,38.00,38.53,3614,1389.97
20200915,38.40,38.85,2651,1025.89
20200916,38.85,38.13,2593,993.94
20200917,38.40,39.88,6317,2490.99
20200918,39.90,40.02,4041,1610.37
20200921,39.58,39.67,2937,1166.00
20200922,39.09,39.25,2952,1159.80
20200923,38.50,39.98,3755,1494.90
20200924,39.67,38.77,3523,1374.32
20200925,38.98,37.97,1781,681.62
20200928,38.00,36.95,2348,875.59
20200929,37.09,37.60,1641,615.76
20200930,37.71,37.32,1850,694.87
20201009,37.70,38.26,1857,709.61
20201012,38.79,39.31,2768,1081.49
20201013,39.47,39.18,2349,915.54
20201014,39.18,38.45,3052,1182.67
20201015,38.41,38.38,2190,839.65
20201016,38.24,38.26,1855,706.67
20201019,38.37,38.20,1275,487.45
20201020,37.96,38.42,1526,583.59
20201021,38.40,38.19,2061,785.83
20201022,37.80,37.94,1947,739.01
20201023,37.91,37.46,3007,1133.84
20201026,37.45,37.45,1768,658.92
20201027,37.65,37.61,1142,427.52
20201028,37.38,36.75,4354,1598.10
20201029,36.21,36.20,2440,887.68
20201030,36.41,34.20,4485,1590.06
20201102,34.50,33.70,4223,1424.60
20201103,34.39,35.13,3134,1087.47
