date,open,close,volume,turn
20200925,7.02,8.42,4159,349.14
20200928,9.26,9.26,1760,162.97
20200929,10.19,10.19,53971,5499.66
20200930,11.20,9.85,373548,36524.04
20201009,9.65,10.84,305409,30325.42
20201012,10.60,11.92,303346,34458.80
20201013,11.80,11.34,307179,35011.50
20201014,11.25,11.07,227090,25525.09
20201015,11.18,10.55,179575,19156.53
20201016,10.44,10.52,108877,11403.96
20201019,10.60,10.56,127424,13505.92
20201020,10.40,10.66,137846,14556.61
20201021,10.63,10.51,125737,13411.62
20201022,10.42,10.63,142845,15219.51
20201023,10.70,10.05,155807,16081.54
20201026,10.01,9.87,82830,8235.90
20201027,9.80,9.74,75762,7399.95
20201028,9.76,9.70,58556,5656.72
20201029,9.56,9.60,49522,4764.18
20201030,9.60,9.06,87592,8184.38
20201102,9.03,9.00,66189,5935.20
20201103,9.06,9.31,62417,5750.74
20201104,9.35,9.40,78588,7335.91
20201105,9.42,9.53,76402,7234.71
20201106,9.49,9.41,69845,6555.53
20201109,9.46,10.35,248725,25054.38
20201110,10.20,10.16,176061,18038.12
20201111,10.09,10.60,219399,22845.10
20201112,10.44,10.51,172504,18135.83
20201113,10.21,10.79,217035,22857.29
20201116,10.72,11.18,278301,30733.65
20201117,10.88,10.58,204839,22041.25
20201118,10.58,11.16,236313,25827.39
20201119,10.88,10.81,161297,17381.61
20201120,10.70,10.54,105843,11131.11
20201123,10.51,11.15,298981,33212.88
20201124,11.29,12.27,367598,43129.30
20201125,12.01,11.49,336694,39882.16
20201126,11.52,11.33,176144,20088.37
20201127,11.19,10.89,135551,14904.30
20201130,10.82,10.74,127846,13962.39
20201201,10.71,10.98,99716,10816.35
20201202,10.95,10.89,95133,10299.93
20201203,10.82,10.45,110771,11713.89
20201204,10.36,10.48,73580,7713.46
20201207,10.47,10.41,79417,8318.65
20201208,10.32,10.17,68034,6998.80
20201209,10.23,10.01,64616,6594.57
20201210,10.00,10.10,47972,4820.57
20201211,10.10,9.82,67197,6617.96
20201214,9.76,10.02,53652,5282.33
20201215,9.90,9.88,39157,3891.40
20201216,9.92,9.51,59137,5683.60
20201217,9.48,9.63,51987,4945.87
20201218,9.59,9.53,39933,3829.34
20201221,9.52,9.47,34826,3305.11
20201222,9.38,9.23,64073,6023.80
20201223,9.20,9.15,40210,3696.21
20201224,9.16,8.89,43996,3962.25
20201225,8.81,9.06,37705,3411.76
20201228,9.07,8.78,42241,3754.93
20201229,8.85,8.92,37515,3348.58
20201230,8.86,9.04,40282,3617.69
20201231,9.04,9.26,63503,5900.66
20210104,9.26,9.28,41642,3864.43
20210105,9.26,9.30,45774,4211.54
20210106,9.26,9.11,37312,3427.34
20210107,9.17,8.61,58275,5129.06
20210108,8.52,8.60,28688,2462.71
20210111,8.65,8.16,46581,3859.37
20210112,8.14,8.24,26761,2206.83
20210113,8.66,8.36,47657,4061.38
20210114,8.18,8.27,43039,3546.95
20210115,8.26,8.59,54172,4632.00
20210118,8.54,8.65,39045,3384.00
20210119,8.64,8.76,42289,3710.87
20210120,8.80,8.83,36838,3243.58
20210121,8.77,8.83,44929,3942.29
20210122,8.82,8.66,27209,2358.40
20210125,8.63,8.39,28171,2389.47
20210126,8.36,8.65,48910,4211.50
20210127,8.58,8.96,71753,6363.61
20210128,8.83,8.77,63257,5627.77
20210129,8.88,8.46,48449,4136.74
