date,open,close,volume,turn
20200720,35.00,30.92,379239,121381.79
20200721,30.50,37.50,307352,102673.85
20200722,35.00,34.63,221295,77046.12
20200723,33.71,35.09,183106,61580.90
20200724,36.88,35.78,252029,96482.66
20200727,36.80,40.93,232170,85513.12
20200728,39.00,39.31,227516,93602.20
20200729,38.89,39.72,156613,62870.82
20200730,39.32,41.90,169333,69343.32
20200731,44.41,41.89,167869,72617.40
20200803,41.75,42.05,132927,55751.49
20200804,42.26,42.49,109484,46545.98
20200805,41.80,40.51,105438,42860.87
20200806,39.78,38.08,111881,43462.51
20200807,37.75,37.14,76214,28181.45
20200810,37.14,37.70,46647,17522.96
20200811,37.28,35.93,55773,20327.49
20200812,36.05,35.02,40748,14336.41
20200813,35.41,35.47,43219,15409.13
20200814,35.40,35.53,26567,9378.63
20200817,35.75,36.40,31996,11592.25
20200818,36.38,35.47,39420,14074.03
20200819,35.18,33.09,59920,20285.10
20200820,33.00,32.02,31902,10305.37
20200821,32.52,31.84,22262,7138.07
20200824,31.82,32.90,43316,13861.41
20200825,32.51,32.06,25595,8269.96
20200826,31.99,32.72,47537,15702.09
20200827,32.41,33.08,35266,11685.58
20200828,32.83,32.89,23641,7732.17
20200831,32.90,33.01,19448,6432.71
20200901,32.71,32.36,16546,5379.45
20200902,32.36,31.00,33906,10633.75
20200903,31.18,31.29,24968,7770.32
20200904,30.88,31.19,12513,3882.20
20200907,31.14,30.90,21214,6633.32
20200908,30.81,30.16,18980,5777.08
20200909,29.93,27.82,37631,10790.80
20200910,28.03,26.88,23140,6406.90
20200911,26.71,27.86,17313,4743.87
20200914,28.08,28.58,22158,6419.36
20200915,28.60,28.53,9416,2692.58
20200916,28.80,28.03,11855,3325.96
20200917,28.03,29.95,51610,15396.57
20200918,29.95,30.20,22193,6690.21
20200921,30.18,30.39,15651,4763.37
20200922,30.05,30.45,18373,5624.36
20200923,30.45,31.17,25477,7916.13
20200924,31.17,30.03,18413,5624.43
20200925,30.05,29.32,15444,4562.95
20200928,29.05,28.44,12028,3457.86
20200929,28.59,28.70,8763,2528.87
20200930,28.98,28.41,9493,2710.99
20201009,28.98,29.09,9055,2628.72
20201012,29.34,30.21,15261,4554.76
20201013,30.20,30.92,19297,5951.98
20201014,30.88,29.99,14671,4472.88
20201015,30.18,29.06,15880,4670.25
20201016,29.02,29.39,8716,2546.76
20201019,29.39,28.56,13745,3976.81
20201020,28.51,28.88,7826,2247.29
20201021,28.75,29.00,10177,2950.91
20201022,28.72,28.33,9795,2772.35
20201023,28.75,27.63,14189,3950.87
20201026,27.87,27.55,8631,2379.48
20201027,27.66,28.29,11659,3272.26
20201028,28.18,27.41,11667,3236.87
20201029,27.01,27.31,7167,1959.56
