date,open,close,volume,turn
20210118,80.00,61.48,680516,440072.50
20210119,58.93,57.07,379135,225175.81
20210120,57.00,54.59,267700,147520.23
20210121,54.33,55.63,261310,143904.12
20210122,54.98,57.31,233269,132511.11
20210125,57.32,52.89,242781,134969.23
20210126,52.48,49.85,162749,83068.36
20210127,49.88,51.28,111393,57010.83
20210128,50.39,50.02,102561,52353.60
20210129,50.95,53.26,177127,93610.20
20210201,53.00,53.88,139959,75717.65
20210202,53.84,52.20,121965,65120.85
20210203,51.60,50.90,90712,46927.48
20210204,50.39,47.86,126925,61863.66
20210205,47.90,44.96,103945,48175.17
20210208,45.20,45.41,64395,29398.14
20210209,45.47,46.04,63387,29204.61
20210210,46.39,44.72,87166,39268.27
20210218,45.63,47.40,82009,38125.04
20210219,47.30,48.34,70373,33746.39
20210222,48.34,46.73,89864,42879.20
20210223,46.72,45.96,57735,26507.51
20210224,45.96,46.35,47663,21969.45
20210225,46.50,45.04,62470,28549.15
20210226,44.58,43.56,64557,28386.60
20210301,44.00,45.04,49363,22102.27
20210302,45.40,44.32,42894,19108.74
20210303,44.16,46.16,61436,28073.79
20210304,45.80,45.30,49100,22350.74
20210305,45.10,45.61,40191,18344.20
20210308,46.00,44.50,46495,21012.32
20210309,44.74,43.85,39920,17643.18
20210310,44.48,43.89,32746,14419.46
20210311,43.87,44.23,42421,18709.64
20210312,44.31,45.63,62957,28640.00
20210315,45.81,44.52,43681,19582.70
20210316,44.66,44.77,32501,14511.73
20210317,44.68,45.53,47326,21360.81
20210318,45.58,48.50,114031,54008.62
20210319,47.85,48.71,113695,56371.72
20210322,48.80,49.53,78413,39119.04
20210323,49.90,48.30,56538,27603.16
20210324,47.99,47.00,49224,23239.58
20210325,46.65,47.25,36271,17192.28
20210326,47.47,49.38,63282,30895.04
20210329,49.00,47.00,77260,37274.82
20210330,47.00,46.95,45704,21414.00
20210331,46.90,46.71,30197,14125.36
20210401,46.70,46.58,34662,16146.67
20210402,46.68,46.93,33882,15842.60
20210406,46.90,47.93,40833,19493.31
20210407,48.09,47.67,31287,14853.01
20210408,47.90,47.91,46736,22645.66
20210409,48.10,46.80,47236,22452.51
20210412,46.71,44.46,59643,26903.66
20210413,44.45,44.25,25469,11324.36
20210414,44.37,44.73,21941,9797.52
20210415,44.44,43.98,33736,14789.42
20210416,44.10,44.50,30960,13690.30
20210419,44.69,45.96,50837,23232.85
20210420,45.58,45.02,42523,19362.90
20210421,44.65,44.57,30522,13598.48
20210422,45.00,44.82,34066,15360.79
20210423,44.90,45.40,40027,18103.59
20210426,45.70,45.05,42790,19543.16
20210427,45.04,44.34,31105,13792.16
20210428,44.32,45.53,47772,21649.78
20210429,45.40,44.65,44239,19790.06
20210430,43.88,42.10,83096,35341.08
20210506,41.98,41.83,31289,13100.36
20210507,41.70,41.18,31303,13032.99
20210510,41.42,39.40,58141,23233.50
20210511,39.21,39.67,24753,9743.73
