date,open,close,volume,turn
20200511,11.55,11.58,11963,1387.25
20200512,11.61,11.39,8373,957.91
20200513,11.39,11.25,9335,1050.82
20200514,11.17,11.11,6433,716.23
20200515,11.20,11.07,5156,571.86
20200518,11.07,10.88,7741,848.91
20200519,10.95,10.86,8355,908.37
20200520,10.86,10.75,11872,1276.17
20200521,10.82,10.64,8898,951.88
20200522,10.66,10.79,21274,2277.09
20200525,10.80,10.53,11842,1257.99
20200526,10.54,10.57,10078,1065.02
20200527,10.57,10.70,10631,1130.40
20200528,10.77,10.53,7760,821.42
20200529,10.68,10.57,8017,849.66
20200601,10.64,10.78,12479,1340.65
20200602,11.16,10.82,15084,1644.04
20200603,11.18,11.02,37586,4206.75
20200604,10.96,10.73,33363,3594.71
20200605,10.68,10.65,28697,3072.03
20200608,10.67,10.48,22437,2359.96
20200609,10.50,10.59,13533,1430.27
20200610,10.65,10.61,8850,937.05
20200611,10.57,10.50,11753,1235.01
20200615,9.98,9.98,357,35.63
20200616,9.48,9.48,469,44.46
20200617,9.01,9.01,737,66.40
20200618,8.56,8.56,773,66.17
20200619,8.13,8.13,786,63.90
20200622,7.72,7.72,591,45.63
20200623,7.33,7.33,1726,126.52
20200624,6.96,6.96,5080,353.57
20200629,6.61,6.61,1807,119.44
20200630,6.28,6.28,2111,132.57
20200701,5.97,6.59,96188,6020.93
20200702,6.42,6.42,73416,4743.22
20200703,6.39,6.30,31120,1977.42
20200706,6.22,6.31,50033,3114.13
20200707,6.31,6.52,48080,3072.26
20200708,6.47,6.85,43329,2861.34
20200709,6.85,7.19,19329,1369.17
20200710,7.54,7.29,55780,4093.05
20200713,7.25,7.20,35948,2579.51
20200714,7.13,7.56,32037,2355.45
20200715,7.57,7.60,31144,2377.93
20200716,7.42,7.23,29729,2161.59
20200717,7.03,7.50,18211,1315.81
20200720,7.45,7.81,22022,1689.67
20200721,7.80,7.78,13514,1043.55
20200722,7.83,8.17,27900,2216.35
20200723,8.15,8.58,33325,2793.76
20200724,8.57,9.01,31849,2848.07
