date,open,close,volume,turn
20210409,20.00,24.94,265919,55237.21
20210412,20.20,18.40,172678,33902.63
20210413,18.02,17.98,76101,14103.64
20210414,18.26,17.80,54520,9863.87
20210415,17.76,18.23,94028,17042.06
20210416,17.96,21.88,114091,22635.18
20210419,22.88,26.26,205256,49875.54
20210420,26.07,22.08,164403,38554.54
20210421,21.71,21.59,125163,27575.12
20210422,21.25,21.15,76369,16128.67
20210423,20.95,23.32,144473,33092.11
20210426,23.45,24.13,143451,35037.47
20210427,23.78,27.08,148540,37589.89
20210428,26.00,26.60,161924,45083.61
20210429,26.96,25.90,111640,29632.72
20210430,25.61,27.20,106971,28311.15
20210506,27.21,25.08,91256,23527.44
20210507,24.87,22.54,69812,16275.44
20210510,22.53,23.29,48473,11297.13
20210511,23.07,21.95,55516,12413.24
